 van Billiard, Mr. Austin Blyler ,1
 Olsen, Mr. Ole Martin ,0
 Williams, Mr. Charles Duane ,0
 Corn, Mr. Harry ,0
 Smiljanic, Mr. Mile ,0
 Sage, Master. Thomas Henry ,0
 Cribb, Mr. John Hatfield ,0
 Bengtsson, Mr. John Viktor ,1
 Baumann, Mr. John D ,0
 Ling, Mr. Lee ,0
 Van der hoef, Mr. Wyckoff ,0
 Smith, Mr. James Clinch ,0
 Lefebre, Master. Henry Forbes ,0
 Isham, Miss. Ann Elizabeth ,0
 Hale, Mr. Reginald ,1
 Leonard, Mr. Lionel ,0
 Sage, Miss. Constance Gladys ,0
 Pernot, Mr. Rene ,0
 Rood, Mr. Hugh Roscoe ,0
 Bourke, Mr. John ,0
 Turcin, Mr. Stjepan ,0
 Lurette, Miss. Elise ,1
 Mernagh, Mr. Robert ,0
 Olsen, Mr. Karl Siegwart Andreas ,0
 Vande Walle, Mr. Nestor Cyriel ,0
 Sage, Mr. Frederick ,0
 Johanson, Mr. Jakob Alfred ,0
 Youseff, Mr. Gerious ,0
 Backstrom, Mr. Karl Alfred ,1
 Albimona, Mr. Nassef Cassem ,0
 Blank, Mr. Henry ,0
 Ali, Mr. Ahmed ,0
 Cameron, Miss. Clear Annie ,0
 Perkin, Mr. John Henry ,0
 Givard, Mr. Hans Kristensen ,0
 Kiernan, Mr. Philip ,1
 Newell, Miss. Madeleine ,0
 Honkanen, Miss. Eliina ,0
 Jacobsohn, Mr. Sidney Samuel ,0
 Bazzani, Miss. Albina ,0
 Harris, Mr. Walter ,0
 Bracken, Mr. James H ,0
 Green, Mr. George Henry ,1
 Nenkoff, Mr. Christo ,0
 Hoyt, Mr. Frederick Maxfield ,0
 Berglund, Mr. Karl Ivar Sven ,0
 Lefebre, Miss. Mathilde ,0
 Larsson, Mr. Bengt Edvin ,0
 Sjostedt, Mr. Ernst Adolf ,0
 Leyson, Mr. Robert William Norman ,1
 Harknett, Miss. Alice Phoebe ,0
 Hold, Mr. Stephen ,0
 Hunt, Mr. George Henry ,0
 Zabour, Miss. Thamine ,0
 Coleridge, Mr. Reginald Charles ,0
 Maenpaa, Mr. Matti Alexanteri ,0
 Attalah, Mr. Sleiman ,1
 Minahan, Dr. William Edward ,0
 Lindahl, Miss. Agda Thorilda Viktoria ,0
 Beckwith, Mr. Richard Leonard ,0
 Carter, Rev. Ernest Courtenay ,0
 Reed, Mr. James George ,0
 Stead, Mr. William Thomas ,0
 Lobb, Mr. William Arthur ,1
 Thorne, Mrs. Gertrude Maybelle ,0
 Cherry, Miss. Gladys ,0
 Ward, Miss. Anna ,0
 Smith, Mr. Thomas ,0
 Taussig, Mr. Emil ,0
 Harrison, Mr. William ,0
 Henry, Miss. Delia ,1
 Reeves, Mr. David ,0
 Persson, Mr. Ernst Ulrik ,0
 Bissette, Miss. Amelia ,0
 Cairns, Mr. Alexander ,0
 Tornquist, Mr. William Henry ,0
 Natsch, Mr. Charles H ,0
 Andrews, Miss. Kornelia Theodosia ,1
 Lindblom, Miss. Augusta Charlotta ,0
 Duane, Mr. Frank ,0
 Olsson, Mr. Nils Johan Goransson ,0
 Smith, Mr. Richard William ,0
 Stankovic, Mr. Ivan ,0
 de Mulder, Mr. Theodore ,0
 Naidenoff, Mr. Penko ,1
 Hosono, Mr. Masabumi ,0
 Connolly, Miss. Kate ,0
 Levy, Mr. Rene Jacques ,0
 Haas, Miss. Aloisia ,0
 Mineff, Mr. Ivan ,0
 Lewy, Mr. Ervin G ,0
 Hanna, Mr. Mansour ,1
 Saalfeld, Mr. Adolphe ,0
 McCoy, Mr. Bernard ,0
 Keane, Miss. Nora A ,0
 Fleming, Miss. Margaret ,0
 Abelson, Mr. Samuel ,0
 Francatelli, Miss. Laura Mabel ,0
 Hays, Miss. Margaret Bechstein ,1
 Hendekovic, Mr. Ignjac ,0
 Hart, Mr. Benjamin ,0
 Nilsson, Miss. Helmina Josefina ,0
 Moraweck, Dr. Ernest ,0
 Wick, Miss. Mary Natalie ,0
 Dennis, Mr. Samuel ,0
 Danoff, Mr. Yoto ,1
 Slayter, Miss. Hilda Mary ,0
 Sage, Mr. George John Jr ,0
 Young, Miss. Marie Grice ,0
 Nysveen, Mr. Johan Hansen ,0
 McCoy, Miss. Agnes ,0
 Partner, Mr. Austen ,0
 Graham, Mr. George Edward ,1
 Denkoff, Mr. Mitto ,0
 Pears, Mr. Thomas Clinton ,0
 Burns, Miss. Elizabeth Margaret ,0
 Dahl, Mr. Karl Edwart ,0
 Blackwell, Mr. Stephen Weart ,0
 Fortune, Miss. Alice Elizabeth ,0
 Collander, Mr. Erik Gustaf ,1
 Sedgwick, Mr. Charles Frederick Waddington ,0
 Fox, Mr. Stanley Hubert ,0
 Smith, Miss. Marion Elsie ,0
 Dimic, Mr. Jovan ,0
 Odahl, Mr. Nils Martin ,0
 Williams-Lambert, Mr. Fletcher Fellows ,0
 Arnold-Franchi, Mr. Josef ,1
 Yousif, Mr. Wazli ,0
 Vanden Steen, Mr. Leo Peter ,0
 Bowerman, Miss. Elsie Edith ,0
 Funk, Miss. Annie Clemmer ,0
 McGovern, Miss. Mary ,0
 Skoog, Mr. Wilhelm ,0
 del Carlo, Mr. Sebastiano ,1
 Asim, Mr. Adola ,0
 Adahl, Mr. Mauritz Nils Martin ,0
 Jermyn, Miss. Annie ,0
 Aubart, Mme. Leontine Pauline ,0
 Harder, Mr. George Achilles ,0
 Ringhini, Mr. Sante ,0
 Landergren, Miss. Aurora Adelia ,1
 Widener, Mr. Harry Elkins ,0
 Bidois, Miss. Rosalie ,0
 Tikkanen, Mr. Juho ,0
 Plotcharsky, Mr. Vasil ,0
 Buss, Miss. Kate ,0
 Sadlier, Mr. Matthew ,0
 Carter, Mr. William Ernest ,1
 Gustafsson, Mr. Johan Birger ,0
 Newell, Miss. Marjorie ,0
 Johansson, Mr. Erik ,0
 Olsson, Miss. Elina ,0
 McKane, Mr. Peter David ,0
 Pain, Dr. Alfred ,0
 Niskanen, Mr. Juha ,1
 Adams, Mr. John ,0
 Hakkarainen, Mr. Pekka Pietari ,0
 Gale, Mr. Shadrach ,0
 Widegren, Mr. Carl/Charles Peter ,0
 Lefebre, Miss. Ida ,0
 Sdycoff, Mr. Todor ,0
 Hart, Mr. Henry ,1
 Minahan, Miss. Daisy E ,0
 Cunningham, Mr. Alfred Fleming ,0
 Sundman, Mr. Johan Julian ,0
 Matthews, Mr. William John ,0
 Gheorgheff, Mr. Stanio ,0
 Zimmerman, Mr. Leo ,0
 Wiseman, Mr. Phillippe ,1
 Flynn, Mr. James ,0
 Bjornstrom-Steffansson, Mr. Mauritz Hakan ,0
 Silvey, Mr. William Baird ,0
 Fortune, Mr. Mark ,0
 Kvillner, Mr. Johan Henrik Johannesson ,0
 Petterson, Mr. Johan Emil ,0
 Reynaldo, Ms. Encarnacion ,1
 Johannesen-Bratthammer, Mr. Bernt ,0
 Seward, Mr. Frederic Kimber ,0
 Peuchen, Major. Arthur Godfrey ,0
 West, Mr. Edwy Arthur ,0
 Hagland, Mr. Ingvald Olai Olsen ,0
 Foreman, Mr. Benjamin Laventall ,0
 Goldenberg, Mr. Samuel L ,1
 Peduzzi, Mr. Joseph ,0
 Jalsevac, Mr. Ivan ,0
 Millet, Mr. Francis Davis ,0
 Toomey, Miss. Ellen ,0
 Anderson, Mr. Harry ,0
 Morley, Mr. William ,0
 Gee, Mr. Arthur H ,1
 Milling, Mr. Jacob Christian ,0
 Maisner, Mr. Simon ,0
 Goncalves, Mr. Manuel Estanslas ,0
 Campbell, Mr. William ,0
 Smart, Mr. John Montgomery ,0
 Scanlan, Mr. James ,0
 Keefe, Mr. Arthur ,1
 Cacic, Mr. Luka ,0
 Strandberg, Miss. Ida Sofia ,0
 Clifford, Mr. George Quincy ,0
 Renouf, Mr. Peter Henry ,0
 Braund, Mr. Lewis Richard ,0
 Karlsson, Mr. Nils August ,0
 Rouse, Mr. Richard Henry ,1
 Bishop, Mr. Dickinson H ,0
 Lefebre, Miss. Jeannie ,0
 Kent, Mr. Edward Austin ,0
 Somerton, Mr. Francis William ,0
 Hagland, Mr. Konrad Mathias Reiersen ,0
 Molson, Mr. Harry Markland ,0
 Artagaveytia, Mr. Ramon ,1
 Yousseff, Mr. Gerious ,0
 Eustis, Miss. Elizabeth Mussey ,0
 Shellard, Mr. Frederick William ,0
 Svensson, Mr. Olof ,0
 Laitinen, Miss. Kristina Sofia ,0
 Olsen, Mr. Henry Margido ,0
 Lang, Mr. Fang ,1
 Daly, Mr. Eugene Patrick ,0
 Webber, Mr. James ,0
 McGough, Mr. James Robert ,0
 Coleff, Mr. Satio ,0
 Walker, Mr. William Anderson ,0
 Ryan, Mr. Patrick ,0
 Pavlovic, Mr. Stefo ,1
 Perreault, Miss. Anne ,0
 Vovk, Mr. Janko ,0
 Lahoud, Mr. Sarkis ,0
 Kassem, Mr. Fared ,0
 Farrell, Mr. James ,0
 Ridsdale, Miss. Lucy ,0
 Farthing, Mr. John ,1
 Salonen, Mr. Johan Werner ,0
 Hocking, Mr. Richard George ,0
 Toufik, Mr. Nakli ,0
 Cacic, Miss. Marija ,0
 Butt, Major. Archibald Willingham ,0
 LeRoy, Miss. Bertha ,0
 Risien, Mr. Samuel Beard ,1
 Frolicher, Miss. Hedwig Margaritha ,0
 Crosby, Miss. Harriet R ,0
 Beane, Mr. Edward ,0
 Douglas, Mr. Walter Donald ,0
 Nicholson, Mr. Arthur Ernest ,0
 Padro y Manent, Mr. Julian ,0
 Goldsmith, Mr. Frank John ,1
 Sharp, Mr. Percival James R ,0
 Ohman, Miss. Velin ,0
 Wright, Mr. George ,0
 Robbins, Mr. Victor ,0
 Morrow, Mr. Thomas Rowan ,0
 Sivic, Mr. Husein ,0
 Norman, Mr. Robert Douglas ,1
 Simmons, Mr. John ,0
 Davies, Mr. Alfred J ,0
 Doharr, Mr. Tannous ,0
 Jonsson, Mr. Carl ,0
 Harris, Mr. George ,0
 Kelly, Miss. Mary ,0
 Garside, Miss. Ethel ,1
 Jussila, Mr. Eiriik ,0
 Christy, Miss. Julie Rachel ,0
 Downton, Mr. William James ,0
 Ross, Mr. John Hugo ,0
 Paulner, Mr. Uscher ,0
 Jarvis, Mr. John Denzil ,0
 Frolicher-Stehli, Mr. Maxmillian ,1
 Gilinski, Mr. Eliezer ,0
 Murdlin, Mr. Joseph ,0
 Rintamaki, Mr. Matti ,0
 Elsbury, Mr. William James ,0
 Bourke, Miss. Mary ,0
 Chapman, Mr. John Henry ,0
 Van Impe, Mr. Jean Baptiste ,1
 Leitch, Miss. Jessie Wills ,0
 Johnson, Mr. Alfred ,0
 Boulos, Mr. Hanna ,0
 Slabenoff, Mr. Petco ,0
 Harrington, Mr. Charles H ,0
 Torber, Mr. Ernst William ,0
 Lindell, Mr. Edvard Bengtsson ,1
 Karaic, Mr. Milan ,0
 Daniel, Mr. Robert Williams ,0
 Shutes, Miss. Elizabeth W ,0
 Jardin, Mr. Jose Neto ,0
 Murphy, Miss. Margaret Jane ,0
 Horgan, Mr. John ,0
 Brocklebank, Mr. William Alfred ,1
 Herman, Miss. Alice ,0
 Danbom, Mr. Ernst Gilbert ,0
 Gavey, Mr. Lawrence ,0
 Yasbeck, Mr. Antoni ,0
 Kimball, Mr. Edwin Nelson Jr ,0
 Sutton, Mr. Frederick ,0
 Kirkland, Rev. Charles Leonard ,1
 Bostandyeff, Mr. Guentcho ,0
 Barkworth, Mr. Algernon Henry Wilson ,0
 Lundahl, Mr. Johan Svensson ,0
 Stahelin-Maeglin, Dr. Max ,0
 Parr, Mr. William Henry Marsh ,0
 Davis, Miss. Mary ,0
 Leinonen, Mr. Antti Gustaf ,1
 Collyer, Mr. Harvey ,0
 Thorneycroft, Mr. Percival ,0
 Sagesser, Mlle. Emma ,0
 Foo, Mr. Choong ,0
 Harper, Mr. Henry Sleeper ,0
 Simonius-Blumer, Col. Oberst Alfons ,0
 Willey, Mr. Edward ,1
 Stanley, Miss. Amy Zillah Elsie ,0
 Mitkoff, Mr. Mito ,0
 Hickman, Mr. Leonard Mark ,0
 Radeff, Mr. Alexander ,0
 Eitemiller, Mr. George Floyd ,0
 Newell, Mr. Arthur Webster ,0
 Frauenthal, Dr. Henry William ,1
 Badt, Mr. Mohamed ,0
 Colley, Mr. Edward Pomeroy ,0
 Coleff, Mr. Peju ,0
 Hickman, Mr. Lewis ,0
 Butler, Mr. Reginald Fenton ,0
 Rommetvedt, Mr. Knud Paust ,0
 Cook, Mr. Jacob ,1
 Davidson, Mr. Thornton ,0
 Mitchell, Mr. Henry Michael ,0
 Wilhelms, Mr. Charles ,0
 Watson, Mr. Ennis Hastings ,0
 Sawyer, Mr. Frederick Charles ,0
 Cardeza, Mr. Thomas Drake Martinez ,0
 Peters, Miss. Katie ,1
 Hassab, Mr. Hammad ,0
 Brown, Mr. Thomas William Solomon ,0
 Laroche, Mr. Joseph Philippe Lemercier ,0
 Dick, Mr. Albert Adrian ,0
 Lam, Mr. Ali ,0
 Saad, Mr. Khalil ,0
 Weir, Col. John ,1
 Chapman, Mr. Charles Henry ,0
 Kelly, Mr. James ,0
 Thayer, Mr. John Borland ,0
 Humblen, Mr. Adolf Mathias Nicolai Olsen ,0
 Silverthorne, Mr. Spencer Victor ,0
 Gallagher, Mr. Martin ,0
 Hansen, Mr. Henrik Juul ,1
 Calderhead, Mr. Edward Pennington ,0
 Cleaver, Miss. Alice ,0
 Klaber, Mr. Herman ,0
 Taylor, Mr. Elmer Zebley ,0
 Larsson, Mr. August Viktor ,0
 Greenberg, Mr. Samuel ,0
 Endres, Miss. Caroline Louise ,1
 McEvoy, Mr. Michael ,0
 Johnson, Mr. Malkolm Joackim ,0
 Gillespie, Mr. William Henry ,0
 Hodges, Mr. Henry Price ,0
 Chambers, Mr. Norman Campbell ,0
 Mannion, Miss. Margareth ,0
 Bryhl, Mr. Kurt Arnold Gottfrid ,1
 Ilmakangas, Miss. Pieta Sofia ,0
 Allen, Miss. Elisabeth Walton ,0
 Knight, Mr. Robert J ,0
 Berriman, Mr. William John ,0
 Troupiansky, Mr. Moses Aaron ,0
 Williams, Mr. Leslie ,0
 Lesurer, Mr. Gustave J ,1
 Ivanoff, Mr. Kanio ,0
 Nankoff, Mr. Minko ,0
 Hawksford, Mr. Walter James ,0
 Cavendish, Mr. Tyrell William ,0
 McNamee, Mr. Neal ,0
 Stranden, Mr. Juho ,0
 Crosby, Capt. Edward Gifford ,1
 Sinkkonen, Miss. Anna ,0
 Connaghton, Mr. Michael ,0
 Vande Velde, Mr. Johannes Joseph ,0
 Jonkoff, Mr. Lalio ,0
 Carlsson, Mr. August Sigfrid ,0
 Theobald, Mr. Thomas Leonard ,0
 Garfirth, Mr. John ,1
 Nirva, Mr. Iisakki Antino Aijo ,0
 Brewe, Dr. Arthur Jackson ,0
 Mangan, Miss. Mary ,0
 Moran, Mr. Daniel J ,0
 Gronnestad, Mr. Daniel Danielsen ,0
 Lievens, Mr. Rene Aime ,0
 Jensen, Mr. Niels Peder ,1
 Elias, Mr. Dibo ,0
 Tobin, Mr. Roger ,0
 Kilgannon, Mr. Thomas J ,0
 Long, Mr. Milton Clyde ,0
 Johnston, Mr. Andrew G ,0
 Ali, Mr. William ,0
 Guggenheim, Mr. Benjamin ,1
 Sage, Miss. Stella Anna ,0
 Hoyt, Mr. William Fisher ,0
 Dantcheff, Mr. Ristiu ,0
 Otter, Mr. Richard ,0
 Osman, Mrs. Mara ,0
 Ibrahim Shawah, Mr. Yousseff ,0
 Ponesell, Mr. Martin ,1
 Hedman, Mr. Oskar Arvid ,0
 Johansson, Mr. Karl Johan ,0
 Andrews, Mr. Thomas Jr ,0
 Meyer, Mr. August ,0
 Alexander, Mr. William ,0
 Lester, Mr. James ,0
 Slemen, Mr. Richard James ,1
 Tomlin, Mr. Ernest Portage ,0
 Fry, Mr. Richard ,0
 Heininen, Miss. Wendla Maria ,0
 Mallet, Mr. Albert ,0
 Holm, Mr. John Fredrik Alexander ,0
 Lulic, Mr. Nikola ,0
 Reuchlin, Jonkheer. John George ,1
 Flynn, Mr. John ,0
 Lam, Mr. Len ,0
 McCormack, Mr. Thomas Joseph ,0
 Saad, Mr. Amin ,0
 Augustsson, Mr. Albert ,0
 Compton, Miss. Sara Rebecca ,0
 Sirota, Mr. Maurice ,1
 Chip, Mr. Chang ,0
 Marechal, Mr. Pierre ,0
 Serepeca, Miss. Augusta ,0
 Lemberopolous, Mr. Peter L ,0
 Abbing, Mr. Anthony ,0
 Sage, Mr. Douglas Bullen ,0
 Markoff, Mr. Marin ,1
 Harper, Rev. John ,0
 Svensson, Mr. Johan ,0
 Daly, Mr. Peter Denis  ,0
 Razi, Mr. Raihed ,0
 Hansen, Mr. Claus Peter ,0
 Gill, Mr. John William ,0
 Duran y More, Miss. Asuncion ,1
 Roebling, Mr. Washington Augustus II ,0
 van Melkebeke, Mr. Philemon ,0
 Balkic, Mr. Cerin ,0
 Carlsson, Mr. Frans Olof ,0
 Vander Cruyssen, Mr. Victor ,0
 Laleff, Mr. Kristo ,0
 Markun, Mr. Johann ,1
 Dahlberg, Miss. Gerda Ulrika ,0
 Banfield, Mr. Frederick James ,0
 Sutehall, Mr. Henry Jr ,0
 Montvila, Rev. Juozas ,0
 Behr, Mr. Karl Howell ,0
 Dooley, Mr. Patrick ,0
